Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Customer_Key__c
Dec,4,Friday,Chevrolet,Urban,Monday,Jan,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1954,2,700,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,CUST-000081
Feb,2,Friday,Pontiac,Rural,Friday,Feb,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1200,12,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000035
Dec,1,Thursday,Pontiac,Urban,Thursday,Dec,1,Male,Married,33,Third Party,Sedan - All Perils,Sedan,less than 20000,0,7714,1,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-000234
May,1,Friday,Chevrolet,Urban,Wednesday,May,3,Male,Married,51,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3270,7,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,CUST-001428
Mar,3,Monday,Pontiac,Urban,Thursday,Mar,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5628,11,400,4,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000905
May,2,Monday,Honda,Urban,Monday,May,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,915,9,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000840
May,5,Monday,Pontiac,Urban,Tuesday,Jun,3,Male,Married,38,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4107,9,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000192
Aug,1,Saturday,Mazda,Urban,Friday,Aug,2,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,4442,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-000536
Jul,3,Tuesday,Mazda,Urban,Friday,Aug,2,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13083,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-000718
May,4,Tuesday,Toyota,Urban,Tuesday,May,4,Female,Married,62,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4982,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000970
Jun,2,Saturday,Toyota,Urban,Wednesday,Jun,3,Female,Married,51,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7800,4,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000696
Mar,2,Friday,Pontiac,Urban,Friday,Mar,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2026,13,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,CUST-000166
Apr,2,Thursday,Mazda,Urban,Friday,Apr,4,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10209,16,400,4,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-000936
Sep,3,Sunday,Chevrolet,Urban,Wednesday,Sep,3,Female,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14987,13,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000480
Jul,1,Monday,Toyota,Urban,Tuesday,Jul,1,Male,Married,76,Third Party,Sedan - All Perils,Sedan,less than 20000,0,2086,7,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000751
Jul,4,Monday,Accura,Rural,Thursday,Aug,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13573,15,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,CUST-001353
Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,48,13,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000929
Nov,4,Monday,Pontiac,Urban,Tuesday,Nov,4,Male,Married,73,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12518,11,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-001438
May,5,Tuesday,Honda,Urban,Wednesday,Jun,1,Male,Married,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,7801,6,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-000075
Apr,1,Monday,Ford,Urban,Monday,Apr,1,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,1,11267,14,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-001318
Jun,4,Thursday,Accura,Urban,Wednesday,Jul,3,Male,Married,74,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9377,15,400,3,8 to 15,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-000492
Jun,5,Thursday,Toyota,Urban,Tuesday,Jul,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12661,12,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-001424
Dec,4,Friday,Pontiac,Urban,Wednesday,Dec,5,Male,Married,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12063,6,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000440
Mar,1,Monday,Toyota,Rural,Thursday,Mar,2,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7303,11,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-001032
May,3,Thursday,Toyota,Rural,Monday,May,4,Male,Married,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,885,7,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000331
Jan,2,Thursday,Honda,Urban,Monday,Jan,3,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,10394,2,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001111
Sep,4,Wednesday,Pontiac,Urban,Wednesday,Sep,4,Male,Single,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3308,13,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000621
Sep,5,Thursday,Chevrolet,Urban,Saturday,Oct,1,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,10561,13,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-000013
Dec,4,Saturday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6490,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1995,All Perils,CUST-000200
Apr,3,Tuesday,Mazda,Rural,Tuesday,Apr,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1625,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-001312
Aug,4,Friday,Mazda,Rural,Monday,Aug,5,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11051,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-001121
May,3,Wednesday,Dodge,Urban,Wednesday,May,3,Male,Single,26,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,13069,13,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001234
Mar,5,Thursday,Honda,Urban,Tuesday,Apr,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11236,3,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,CUST-001091
Sep,2,Tuesday,Honda,Rural,Wednesday,Sep,3,Male,Married,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5929,15,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000399
Jul,1,Tuesday,Toyota,Rural,Wednesday,Jul,1,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6897,10,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-000251
Jun,5,Wednesday,Honda,Urban,Monday,Jul,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,less than 20000,0,6780,15,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-000240
Jul,2,Saturday,Mazda,Urban,Monday,Jul,2,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14648,6,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000290
Mar,4,Friday,Honda,Urban,Monday,Mar,4,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4154,10,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000018
Jan,2,Wednesday,Mazda,Urban,Tuesday,Apr,4,Female,Single,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5747,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000526
Sep,3,Monday,Toyota,Urban,Tuesday,Sep,3,Female,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14332,12,300,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1996,Liability,CUST-001223
Jan,1,Sunday,Toyota,Urban,Monday,Jan,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6926,16,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000794
Nov,3,Saturday,Pontiac,Urban,Monday,Nov,4,Male,Single,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14447,7,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000408
Jul,3,Monday,Mazda,Urban,Monday,Jul,3,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2928,6,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000445
Sep,3,Saturday,Honda,Urban,Tuesday,Sep,3,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9246,16,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-001028
Apr,1,Wednesday,Toyota,Rural,Wednesday,Apr,1,Female,Single,46,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2914,6,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-001019
Feb,2,Thursday,Saab,Urban,Friday,Feb,2,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3690,10,700,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-001097
Sep,5,Wednesday,Chevrolet,Urban,Wednesday,Oct,1,Male,Single,34,Third Party,Sedan - All Perils,Sedan,more than 69000,0,11201,8,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-001458
Mar,1,Tuesday,Honda,Urban,Tuesday,Mar,2,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13883,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,CUST-001209
Aug,3,Sunday,Chevrolet,Urban,Tuesday,Aug,3,Male,Married,36,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9607,12,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000903
Sep,1,Monday,Ford,Urban,Monday,Sep,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,12225,10,400,2,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,CUST-000517
May,5,Saturday,Honda,Rural,Monday,May,5,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14024,7,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001156
Dec,2,Saturday,Mazda,Rural,Monday,Dec,2,Female,Divorced,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7686,13,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-000501
May,5,Sunday,Honda,Urban,Monday,May,5,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4994,9,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000759
Feb,1,Sunday,Pontiac,Urban,Wednesday,Mar,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7277,10,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,CUST-000769
Feb,4,Saturday,Toyota,Urban,Thursday,Mar,1,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5658,8,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000793
Jun,1,Sunday,Mazda,Urban,Monday,Jun,1,Female,Married,79,Policy Holder,Sedan - Liability,Sport,less than 20000,0,14350,15,400,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-000531
Dec,3,Saturday,Pontiac,Urban,Tuesday,Dec,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8674,12,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils,CUST-000770
Aug,2,Friday,Mazda,Urban,Monday,Aug,3,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,11148,10,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-001157
Dec,4,Wednesday,Chevrolet,Urban,Thursday,Dec,4,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1351,15,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-001113
Jul,4,Thursday,Toyota,Urban,Wednesday,Jul,4,Female,Married,40,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11342,4,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-000645
Jan,4,Friday,Honda,Urban,Monday,Feb,1,Male,Single,39,Third Party,Sedan - Liability,Sport,more than 69000,0,3430,3,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000373
Jun,3,Friday,Mazda,Urban,Friday,Jun,3,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9179,11,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-001288
Apr,2,Friday,Ford,Rural,Thursday,Apr,3,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,2678,4,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000958
Apr,3,Thursday,Toyota,Urban,Thursday,Apr,3,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,14938,12,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-001459
Aug,3,Thursday,VW,Urban,Wednesday,Aug,4,Male,Single,54,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1120,9,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,CUST-000664
Jul,1,Wednesday,Pontiac,Urban,Wednesday,Jul,2,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2684,13,400,3,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000908
Nov,4,Saturday,Honda,Rural,Tuesday,Nov,5,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12457,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-000102
Mar,4,Wednesday,Mazda,Urban,Monday,Mar,4,Male,Married,28,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13828,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,CUST-001040
May,4,Friday,Pontiac,Urban,Monday,May,5,Male,Married,51,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1563,6,400,2,more than 30,more than 30,none,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000041
May,1,Tuesday,Pontiac,Urban,Wednesday,May,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2999,10,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000952
Jan,1,Thursday,Pontiac,Urban,Monday,Jan,2,Male,Single,21,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9979,6,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-000362
Jun,1,Saturday,Mazda,Urban,Tuesday,Jun,1,Male,Married,60,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2519,14,400,1,more than 30,more than 30,none,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-001119
Jun,3,Friday,Toyota,Urban,Tuesday,Jun,4,Male,Married,66,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9177,13,700,3,more than 30,more than 30,1,7 years,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000852
Jun,3,Monday,Toyota,Urban,Wednesday,Jun,4,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7307,7,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-001255
Nov,2,Sunday,Pontiac,Urban,Monday,Nov,2,Female,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7526,2,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001207
Oct,1,Tuesday,Honda,Urban,Tuesday,Oct,1,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7199,14,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-001170
Jun,3,Sunday,Mazda,Rural,Monday,Jul,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4099,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000276
Feb,5,Monday,Honda,Urban,Friday,Apr,1,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,0,1618,6,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,CUST-000246
Sep,2,Wednesday,Mazda,Urban,Thursday,Sep,3,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13062,2,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001304
Oct,5,Friday,Pontiac,Urban,Friday,Oct,5,Male,Single,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3121,7,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,CUST-000321
Jan,4,Monday,Pontiac,Urban,Wednesday,Feb,1,Female,Married,26,Policy Holder,Sedan - Liability,Sport,less than 20000,0,7913,7,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000220
Feb,1,Wednesday,Mazda,Urban,Thursday,Feb,1,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15126,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-001306
Jan,5,Friday,Saab,Urban,Friday,Feb,2,Female,Married,33,Third Party,Sedan - Collision,Sedan,more than 69000,0,10503,12,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-001238
Jul,1,Friday,Toyota,Urban,Wednesday,Jul,3,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2933,11,400,3,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-001246
May,4,Wednesday,Toyota,Urban,Monday,May,5,Male,Married,44,Third Party,Sedan - Liability,Sport,more than 69000,0,931,12,700,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-001036
Jan,4,Monday,Toyota,Urban,Wednesday,Jan,4,Male,Single,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1749,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000116
Jan,2,Sunday,Toyota,Rural,Monday,Feb,3,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14001,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000207
Dec,5,Thursday,Chevrolet,Urban,Monday,Jan,1,Female,Married,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3659,16,700,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-001075
Nov,2,Wednesday,Honda,Urban,Tuesday,Jan,1,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10370,15,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-000744
Jul,4,Thursday,Mazda,Urban,Thursday,Aug,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,13803,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,1996,All Perils,CUST-001088
Aug,5,Monday,Honda,Urban,Tuesday,Sep,4,Male,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,5557,8,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-001256
Mar,4,Sunday,Mazda,Rural,Friday,Apr,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12738,10,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-001151
Apr,1,Friday,VW,Urban,Wednesday,Apr,1,Male,Single,40,Third Party,Sedan - All Perils,Sedan,more than 69000,0,6473,16,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-001228
Oct,5,Tuesday,Saturn,Urban,Friday,Nov,1,Male,Married,30,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,12263,11,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,3 to 5,no change,1 vehicle,1996,Liability,CUST-000897
Nov,2,Tuesday,Chevrolet,Urban,Friday,Nov,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,15346,11,700,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000582
Sep,2,Thursday,Pontiac,Urban,Monday,Sep,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12807,13,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-000619
Sep,2,Saturday,Toyota,Urban,Wednesday,Sep,3,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8425,13,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-000715
Jan,2,Monday,Honda,Urban,Friday,Jan,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3647,11,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-001392
Aug,2,Wednesday,Honda,Urban,Wednesday,Aug,3,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2544,4,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-000398
Aug,3,Tuesday,Honda,Urban,Thursday,Aug,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,380,3,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000940
Sep,1,Thursday,Chevrolet,Urban,Wednesday,Sep,2,Male,Married,39,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1023,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000563
